fecha,categoria,rep,P_med_W,T_s,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-05 21:20:00,idle,1,1.143153,0.004901,39.37,11008,0,0,0,0,7002,999,0,49005
2026-07-05 21:25:22,idle,2,1.143202,0.004901,39.12,11008,0,0,0,0,7002,999,0,49005
2026-07-05 21:30:47,idle,3,1.143176,0.004901,39.61,11008,0,0,0,0,7002,999,0,49005
2026-07-05 21:46:05,idle,1,1.143538,0.000329,39.12,745,0,0,0,0,471,66,0,3288
2026-07-05 21:47:10,alu,1,1.165470,19.500000,39.12,192750013,0,0,0,0,2,749999,0,195000002
2026-07-05 21:48:22,mul,1,1.159266,19.500000,39.49,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-05 21:49:26,mulh,1,1.151966,19.902000,39.37,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-05 21:50:31,div,1,1.148188,19.906000,39.37,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-05 21:51:34,mem,1,1.154092,19.724500,39.61,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-05 21:52:38,ctrl,1,1.153763,19.608000,39.24,380009,0,0,0,0,2,97659999,0,196080005
2026-07-05 21:53:39,float,1,1.164361,19.440001,39.49,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-05 22:29:25,idle,1,1.144271,0.000329,39.61,745,0,0,0,0,471,66,0,3288
2026-07-05 22:30:37,alu,1,1.166131,19.500000,39.61,192750013,0,0,0,0,2,749999,0,195000002
2026-07-05 22:31:55,mul,1,1.159942,19.500000,39.86,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-05 22:33:01,mulh,1,1.152679,19.902000,39.86,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-05 22:34:06,div,1,1.148510,19.906000,39.73,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-05 22:35:16,mem,1,1.154662,19.724500,39.86,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-05 22:36:20,ctrl,1,1.154760,19.608000,39.86,380009,0,0,0,0,2,97659999,0,196080005
2026-07-05 22:37:25,float,1,1.165361,19.440001,39.61,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-06 00:24:58,idle,1,1.144797,0.000329,39.86,745,0,0,0,0,471,66,0,3288
2026-07-06 00:26:13,alu,1,1.166331,19.500000,39.98,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 00:27:33,mul,1,1.160228,19.500000,39.98,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 00:28:49,mulh,1,1.153187,19.902000,39.98,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 00:30:00,div,1,1.149091,19.906000,39.98,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 00:31:19,mem,1,1.155154,19.724500,39.73,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-06 00:32:26,ctrl,1,1.154961,19.608000,39.98,380009,0,0,0,0,2,97659999,0,196080005
2026-07-06 00:33:31,float,1,1.165551,19.440001,40.10,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-06 16:07:03,idle,1,1.149071,0.000329,41.46,745,0,0,0,0,471,66,0,3288
2026-07-06 16:07:39,idle,2,1.149519,0.000329,41.58,745,0,0,0,0,471,66,0,3288
2026-07-06 16:08:14,idle,3,1.149330,0.000329,41.83,745,0,0,0,0,471,66,0,3288
2026-07-06 16:09:17,alu,1,1.171555,19.500000,41.83,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:10:22,alu,2,1.171280,19.500000,42.07,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:11:27,alu,3,1.171389,19.500000,41.95,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:12:32,mul,1,1.165067,19.500000,41.83,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:13:39,mul,2,1.164620,19.500000,41.95,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:14:43,mul,3,1.165321,19.500000,41.70,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:15:48,mulh,1,1.157673,19.902000,41.70,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:16:54,mulh,2,1.157881,19.902000,41.46,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:17:59,mulh,3,1.157786,19.902000,41.58,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:19:05,div,1,1.153300,19.906000,41.46,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 16:20:12,div,2,1.153664,19.906000,41.46,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 16:27:22,idle,1,1.149774,0.000329,41.83,745,0,0,0,0,471,66,0,3288
2026-07-06 16:27:58,idle,2,1.149466,0.000329,41.83,745,0,0,0,0,471,66,0,3288
2026-07-06 16:28:32,idle,3,1.149345,0.000329,41.70,745,0,0,0,0,471,66,0,3288
2026-07-06 16:32:59,alu,1,1.170602,19.500000,41.95,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:34:02,alu,2,1.171259,19.500000,41.95,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:35:07,alu,3,1.171178,19.500000,41.70,192750013,0,0,0,0,2,749999,0,195000002
2026-07-06 16:36:07,mul,1,1.164641,19.500000,42.07,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:37:10,mul,2,1.164868,19.500000,41.95,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:38:14,mul,3,1.164999,19.500000,41.46,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-06 16:39:19,mulh,1,1.157878,19.902000,41.83,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:40:24,mulh,2,1.157859,19.902000,41.70,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:41:29,mulh,3,1.157802,19.902000,41.70,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-06 16:42:36,div,1,1.153783,19.906000,41.70,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 16:43:40,div,2,1.153506,19.906000,41.70,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 16:44:46,div,3,1.153577,19.906000,41.70,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-06 16:45:51,mem,1,1.159721,19.724500,41.70,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-06 16:46:56,mem,2,1.159918,19.724500,41.83,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-06 16:48:04,mem,3,1.160055,19.724500,41.95,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-06 16:49:09,ctrl,1,1.159649,19.608000,41.83,380009,0,0,0,0,2,97659999,0,196080005
2026-07-06 16:50:12,ctrl,2,1.160010,19.608000,41.83,380009,0,0,0,0,2,97659999,0,196080005
2026-07-06 16:51:16,ctrl,3,1.160037,19.608000,41.70,380009,0,0,0,0,2,97659999,0,196080005
2026-07-06 16:52:21,float,1,1.170672,19.440001,41.83,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-06 16:53:26,float,2,1.170269,19.440001,41.83,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-06 16:54:34,float,3,1.170279,19.440001,41.58,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-06 18:06:46,idle,1,1.147694,0.000329,40.96,745,0,0,0,0,471,66,0,3288
2026-07-06 18:07:22,idle,2,1.147784,0.000329,40.60,745,0,0,0,0,471,66,0,3288
2026-07-06 18:07:57,idle,3,1.148043,0.000329,40.84,745,0,0,0,0,471,66,0,3288
2026-07-06 18:08:55,ctrl,1,1.169680,18.560001,40.84,30740015,0,0,0,0,2,56259999,0,185600005
2026-07-06 18:10:04,ctrl,2,1.169495,18.560001,40.47,30740015,0,0,0,0,2,56259999,0,185600005
2026-07-06 18:11:13,ctrl,3,1.169378,18.560001,40.10,30740015,0,0,0,0,2,56259999,0,185600005
2026-07-06 18:17:40,idle,1,1.146947,0.000329,40.35,745,0,0,0,0,471,66,0,3288
2026-07-06 18:18:15,idle,2,1.146989,0.000329,40.10,745,0,0,0,0,471,66,0,3288
2026-07-06 18:18:51,idle,3,1.146671,0.000329,40.10,745,0,0,0,0,471,66,0,3288
2026-07-06 18:19:55,ctrl,1,1.165790,19.952000,40.47,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-06 18:21:05,ctrl,2,1.165883,19.952000,40.60,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-06 18:22:12,ctrl,3,1.166052,19.952000,40.72,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-07 21:24:40,idle,1,1.144942,0.000329,39.24,745,0,0,0,0,471,66,0,3288
2026-07-07 21:25:17,idle,2,1.144344,0.000329,38.87,745,0,0,0,0,471,66,0,3288
2026-07-07 21:25:53,idle,3,1.144106,0.000329,38.75,745,0,0,0,0,471,66,0,3288
2026-07-07 21:26:29,alu,1,1.165914,19.500000,38.87,192750013,0,0,0,0,2,749999,0,195000002
2026-07-07 21:27:05,alu,2,1.165706,19.500000,39.00,192750013,0,0,0,0,2,749999,0,195000002
2026-07-07 21:27:40,alu,3,1.165732,19.500000,39.12,192750013,0,0,0,0,2,749999,0,195000002
2026-07-07 21:28:16,mul,1,1.158976,19.500000,38.63,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-07 21:29:48,mul,2,1.159449,19.500000,38.75,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-07 21:30:26,mul,3,1.159182,19.500000,38.63,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-07 21:31:03,mulh,1,1.151847,19.902000,38.50,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-07 21:31:40,mulh,2,1.152169,19.902000,38.63,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-07 21:32:17,mulh,3,1.151988,19.902000,38.26,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-07 21:32:54,div,1,1.148059,19.906000,38.14,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-07 21:33:31,div,2,1.148453,19.906000,38.38,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-07 21:34:07,div,3,1.148493,19.906000,38.38,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-07 21:34:56,mem,1,1.154541,19.724500,38.26,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-07 21:35:31,mem,2,1.154794,19.724500,38.38,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-07 21:36:20,mem,3,1.154900,19.724500,38.14,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-07 21:37:26,ctrl,1,1.163165,19.952000,38.50,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-07 21:41:13,ctrl,2,1.163160,19.952000,38.01,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-07 21:41:45,ctrl,3,1.162133,19.952000,38.01,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-07 21:43:07,float,1,1.164214,19.440001,38.01,600009,0,0,0,0,2,599999,153600000,194400005
2026-07-08 14:11:28,idle,1,1.158253,0.000329,43.92,745,0,0,0,0,471,66,0,3288
2026-07-08 14:12:07,alu,1,1.180391,19.500000,43.92,192750013,0,0,0,0,2,749999,0,195000002
2026-07-08 14:12:42,mul,1,1.174261,19.500000,43.92,750013,192000000,0,0,0,2,749999,0,195000002
2026-07-08 14:13:20,mulh,1,1.166864,19.902000,44.16,155013,0,39680000,0,0,2,154999,0,199020002
2026-07-08 14:13:56,div,1,1.162874,19.906000,44.04,37013,0,0,9472000,198912000,2,36999,0,199060002
2026-07-08 14:14:32,mem,1,1.168719,19.724500,43.67,383013,0,0,0,0,98048002,382999,0,197245003
2026-07-08 14:15:08,ctrl,1,1.177689,19.952000,44.04,2900015,0,0,0,0,2,70179999,0,199520002
2026-07-08 14:15:43,float,1,1.179642,19.440001,44.04,600009,0,0,0,0,2,599999,153600000,194400005
