fecha,categoria,rep,delta_W,P_idle_W,avgH_W,nH,nL
2026-06-18 15:51:02,alu,1,0.019390,9.232644,9.252034,81651,82551
2026-06-18 15:57:16,alu,1,0.019541,9.232678,9.252219,81831,82699
2026-06-18 16:02:30,mul,1,0.008816,9.232064,9.240880,81798,82730
2026-06-18 16:07:51,mulh,1,0.004707,9.232634,9.237341,82386,82718
2026-06-18 16:13:05,div,1,0.003220,9.232982,9.236202,81033,82771
2026-06-18 16:18:21,mem,1,0.008759,9.234404,9.243163,22169,22805
2026-06-18 16:23:36,ctrl,1,0.008568,9.235446,9.244014,81923,82751
2026-06-18 16:28:51,float,1,0.016194,9.236240,9.252434,82024,82698
2026-06-18 21:45:21,alu,1,0.019080,9.130390,9.149470,16379,17061
2026-06-18 21:46:36,alu,2,0.019012,9.131103,9.150115,16346,17095
2026-06-18 21:47:51,alu,3,0.019060,9.130825,9.149885,16401,17040
2026-06-18 21:49:05,mul,1,0.008641,9.131011,9.139652,16329,17112
2026-06-18 21:50:30,mul,2,0.008658,9.131499,9.140157,16400,17040
2026-06-18 21:51:50,mul,3,0.008584,9.134744,9.143328,16382,17058
2026-06-18 21:53:05,mulh,1,0.004447,9.136483,9.140930,16637,16908
2026-06-18 21:54:25,mulh,2,0.004422,9.136705,9.141127,16337,17223
2026-06-18 21:55:40,mulh,3,0.004569,9.136805,9.141374,16642,16920
2026-06-18 21:56:57,div,1,0.003155,9.136809,9.139964,16229,17063
2026-06-18 21:58:13,div,2,0.003017,9.136960,9.139977,16213,17078
2026-06-18 21:59:29,div,3,0.003332,9.136912,9.140244,16233,17058
2026-06-18 22:00:47,mem,1,0.008476,9.137343,9.145819,16519,16968
2026-06-18 22:02:02,mem,2,0.008491,9.137195,9.145686,16324,17148
2026-06-18 22:03:18,mem,3,0.008519,9.137299,9.145818,16468,17018
2026-06-18 22:04:32,ctrl,1,0.008305,9.137774,9.146079,16318,17149
2026-06-18 22:05:54,ctrl,2,0.008184,9.137550,9.145734,16475,16991
2026-06-18 22:07:14,ctrl,3,0.008301,9.137667,9.145968,16305,17161
2026-06-18 22:08:30,float,1,0.015792,9.137570,9.153362,16432,17047
2026-06-18 22:09:44,float,2,0.015792,9.137688,9.153480,16280,17200
2026-06-18 22:11:02,float,3,0.015761,9.137651,9.153412,16324,17156
2026-06-18 22:28:14,alu,1,0.019023,9.145665,9.164688,81795,82754
2026-06-18 22:33:28,mul,1,0.008823,9.145557,9.154380,81854,82688
2026-06-18 22:38:43,mulh,1,0.004767,9.145461,9.150228,82452,82676
2026-06-18 22:43:58,div,1,0.003309,9.145296,9.148605,81087,82733
2026-06-18 22:49:14,mem,1,0.008759,9.145174,9.153933,82030,82751
2026-06-18 22:54:31,ctrl,1,0.008495,9.144964,9.153459,81963,82709
2026-06-18 22:59:47,float,1,0.015882,9.144938,9.160820,82013,82728
