hora,temp_C,P_idle_W
22:05:53,40.47,9.156693
22:06:18,40.72,9.156753
22:06:44,40.60,9.125713
22:07:09,40.60,9.139216
22:07:35,40.60,9.172444
22:08:00,40.60,9.150210
22:08:24,40.60,9.175439
22:08:48,40.60,9.175991
22:09:13,40.60,9.177423
22:09:38,40.47,9.179048
22:10:03,40.72,9.182138
22:10:28,40.72,9.193087
22:10:52,40.72,9.195233
22:11:16,40.72,9.138365
22:11:40,40.84,9.136373
22:12:05,40.72,9.133252
22:12:25,40.72,9.148255
22:12:49,40.47,9.136893
22:13:14,40.72,9.134714
22:13:39,40.60,9.134772
22:14:04,40.72,9.134755
22:14:28,40.84,9.134461
22:14:53,40.96,9.134573
22:15:18,40.96,9.134641
22:15:42,40.96,9.134801
22:16:08,40.84,9.134661
22:16:34,40.72,9.129403
22:17:01,40.60,9.129513
