fecha,programa,P_med_W,T_s,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-11 22:24:50,idle,1.147811,0.000329,39.24,745,0,0,0,0,471,66,0,3288
2026-07-11 22:26:11,memcpy,1.166798,64.410002,39.61,307650018,0,0,0,0,153900004,9600001,0,644100022
2026-07-11 22:26:45,memcpy_d60,1.159956,17.911404,39.49,57325674,0,0,0,0,28676795,1788819,0,107468424
2026-07-11 22:27:20,memcpy_d30,1.153572,19.995951,39.61,28652684,0,0,0,0,14333315,894099,0,59987854
2026-07-11 22:29:36,fsm,1.171639,120.120004,39.73,711300019,0,0,0,0,77100021,163200002,0,1201200043
2026-07-11 22:30:12,fsm_d60,1.162121,20.140267,39.61,71557004,0,0,0,0,7756525,16417949,0,120841604
2026-07-11 22:30:49,fsm_d30,1.155384,20.127068,39.61,35754904,0,0,0,0,3875825,8203549,0,60381204
2026-07-11 22:31:55,crc,1.171812,49.184002,39.86,292160021,0,0,0,0,10320006,46040001,0,491840025
2026-07-11 22:32:31,crc_d60,1.161586,19.996732,39.86,71287284,0,0,0,0,2518195,11233779,0,119980394
2026-07-11 22:33:08,crc_d30,1.154697,19.996851,39.61,35643764,0,0,0,0,1259155,5616899,0,59990554
2026-07-11 22:33:44,matmul,1.165878,17.842204,39.61,65586025,21600000,0,0,0,23352012,11442001,0,178422037
2026-07-11 22:34:21,matmul_d60,1.158978,19.837211,39.73,44161524,14544000,0,0,0,15723855,7704299,0,119023264
2026-07-11 22:34:57,matmul_d30,1.153524,19.837348,39.73,22080904,7272000,0,0,0,7862015,3852159,0,59512044
2026-07-11 22:35:31,mulhash64,1.166648,17.024004,39.73,67520032,30720000,10240000,0,0,320012,5120001,0,170240042
2026-07-11 22:36:07,mulhash64_d60,1.159424,19.999801,39.61,47593524,21653760,7217920,0,0,225735,3608979,0,119998804
2026-07-11 22:36:42,mulhash64_d30,1.153538,20.003495,39.73,23801164,10828800,3609600,0,0,112975,1804819,0,60010484
2026-07-11 22:37:10,mulhscale,1.170035,8.952003,39.73,32040023,0,3840000,0,0,7920006,7560001,0,89520028
2026-07-11 22:37:45,mulhscale_d60,1.161413,20.000386,39.61,42949904,0,5147520,0,0,10616875,10134199,0,120002314
2026-07-11 22:38:21,mulhscale_d30,1.154700,20.000511,39.61,21475094,0,2573760,0,0,5308495,5067109,0,60001534
2026-07-11 22:39:01,dotprod,1.169311,23.940008,39.86,94080033,3960000,3840000,0,0,30960014,11280001,23040000,239400079
2026-07-11 22:39:37,dotprod_d60,1.160801,20.000084,39.49,47157974,1984950,1924800,0,0,15518895,5654119,11548800,120000504
2026-07-11 22:40:18,dotprod_d30,1.154409,20.003618,39.37,23583094,992640,962560,0,0,7760835,2827539,5775360,60010854
2026-07-11 22:41:25,gcd,1.156480,51.734037,39.73,40070431,1200000,0,16330203,394828717,60006,26660407,0,517340370
