fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 22:09:29,bucles,bitcount,93.699,1.168814,1.165714,-0.2653,39.49,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 22:09:55,bucles,bsearch,12.111,1.164044,1.163210,-0.0716,39.24,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 22:15:17,bucles,conv,306.634,1.162238,1.162792,0.0476,39.37,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 22:16:20,bucles,divsum,49.510,1.151332,1.150383,-0.0824,39.24,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-12 22:16:44,bucles,fixmul,11.745,1.161533,1.159165,-0.2038,39.49,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 22:17:03,bucles,floyd,4.795,1.162568,1.164019,0.1248,39.00,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 22:17:30,bucles,fpalu,11.794,1.167116,1.162873,-0.3636,39.49,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 22:17:59,bucles,fpctrl,15.378,1.165067,1.163272,-0.1540,39.37,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 22:18:24,bucles,fpgain,12.306,1.166670,1.159515,-0.6133,39.37,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 22:18:50,bucles,fpmem,12.315,1.163465,1.162028,-0.1235,39.12,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 22:19:17,bucles,logistic,13.330,1.164535,1.163235,-0.1116,39.00,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 22:20:02,bucles,md5,32.088,1.166177,1.164513,-0.1426,39.00,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 22:21:23,bucles,mixed,61.600,1.162840,1.158649,-0.3604,38.63,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-12 22:21:42,bucles,primes,5.451,1.154606,1.152763,-0.1596,39.00,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 22:22:01,bucles,sha256,5.292,1.166782,1.165857,-0.0793,38.63,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 22:22:40,bucles,wmul,24.930,1.158654,1.157211,-0.1245,39.12,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-12 22:23:04,bucles,ycbcr,10.258,1.164053,1.159871,-0.3592,38.87,20660014,0,0,0,0,20480004,5120001,10240000,102580021
