fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-15 13:58:44,bucles,bitcount,93.699,1.168873,1.165341,-0.3022,40.10,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-15 14:00:02,bucles,bsearch,12.111,1.164585,1.162837,-0.1501,40.23,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-15 14:05:25,bucles,conv,306.634,1.162408,1.162419,0.0009,40.23,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-15 14:06:30,bucles,divsum,49.510,1.151497,1.150010,-0.1291,40.10,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-15 14:07:00,bucles,fixmul,11.745,1.161856,1.158792,-0.2637,40.35,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-15 14:07:20,bucles,floyd,4.795,1.162992,1.163646,0.0562,40.23,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-15 14:07:46,bucles,fpalu,11.794,1.167287,1.162500,-0.4101,40.10,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-15 14:08:17,bucles,fpctrl,15.378,1.165353,1.162899,-0.2105,40.10,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-15 14:08:46,bucles,fpgain,12.306,1.167072,1.159142,-0.6795,40.35,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-15 14:09:15,bucles,fpmem,12.315,1.164004,1.161655,-0.2018,40.35,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-15 14:09:43,bucles,logistic,13.330,1.164881,1.162862,-0.1733,40.23,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-15 14:10:32,bucles,md5,32.088,1.166241,1.164140,-0.1801,39.98,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-15 14:11:49,bucles,mixed,61.600,1.162468,1.158276,-0.3606,40.10,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-15 14:12:09,bucles,primes,5.451,1.154410,1.152390,-0.1750,39.86,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-15 14:12:30,bucles,sha256,5.292,1.166624,1.165484,-0.0977,39.73,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-15 14:13:36,bucles,wmul,24.930,1.157837,1.156838,-0.0863,39.49,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-15 14:14:02,bucles,ycbcr,10.258,1.163544,1.159498,-0.3477,39.73,20660014,0,0,0,0,20480004,5120001,10240000,102580021
