fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 19:35:29,bucles,bitcount,93.699,1.169859,1.161168,-0.7429,37.27,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 19:35:54,bucles,bsearch,12.111,1.164719,1.157587,-0.6124,36.90,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 19:41:14,bucles,conv,306.634,1.162387,1.157168,-0.4490,36.90,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 19:41:40,bucles,fixmul,11.745,1.160986,1.153542,-0.6412,36.90,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 19:41:58,bucles,floyd,4.795,1.161833,1.158395,-0.2959,36.90,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 19:42:25,bucles,fpalu,11.794,1.166114,1.157249,-0.7602,36.90,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 19:42:55,bucles,fpctrl,15.378,1.164421,1.158727,-0.4890,37.27,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 19:43:19,bucles,fpgain,12.306,1.165960,1.156047,-0.8502,37.64,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 19:43:44,bucles,fpmem,12.315,1.162536,1.158561,-0.3419,37.64,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 19:44:13,bucles,logistic,13.330,1.164346,1.160496,-0.3307,37.89,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 19:44:59,bucles,md5,32.088,1.165207,1.162503,-0.2321,38.14,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 19:45:20,bucles,primes,5.451,1.154015,1.151102,-0.2524,38.26,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 19:45:39,bucles,sha256,5.292,1.165867,1.164196,-0.1433,38.26,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 19:46:03,bucles,ycbcr,10.258,1.163598,1.157482,-0.5256,38.01,20660014,0,0,0,0,20480004,5120001,10240000,102580021
