fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 19:54:19,regresion,bitcount,93.699,1.171205,1.172477,0.1086,39.49,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 19:54:45,regresion,bsearch,12.111,1.166750,1.168408,0.1421,39.49,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 20:00:08,regresion,conv,306.634,1.164597,1.166604,0.1724,39.73,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 20:00:34,regresion,fixmul,11.745,1.164655,1.167112,0.2110,39.61,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 20:00:52,regresion,floyd,4.795,1.165649,1.168271,0.2249,39.61,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 20:01:18,regresion,fpalu,11.794,1.169878,1.167245,-0.2251,39.73,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 20:01:48,regresion,fpctrl,15.378,1.168067,1.168444,0.0323,39.61,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 20:02:15,regresion,fpgain,12.306,1.169709,1.164423,-0.4519,39.73,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 20:02:42,regresion,fpmem,12.315,1.166404,1.167598,0.1024,39.73,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 20:03:08,regresion,logistic,13.330,1.167174,1.168260,0.0930,39.86,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 20:03:53,regresion,md5,32.088,1.168810,1.168425,-0.0330,39.86,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 20:04:13,regresion,primes,5.451,1.157035,1.155680,-0.1171,39.86,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 20:04:32,regresion,sha256,5.292,1.169175,1.167966,-0.1034,39.73,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 20:04:58,regresion,ycbcr,10.258,1.166528,1.164842,-0.1446,39.73,20660014,0,0,0,0,20480004,5120001,10240000,102580021
