fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 19:07:48,regresion,bitcount,93.699,1.170594,1.167776,-0.2407,37.89,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 19:08:35,regresion,bsearch,12.111,1.165649,1.163358,-0.1965,37.77,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 19:13:56,regresion,conv,306.634,1.163012,1.162253,-0.0652,38.01,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 19:14:22,regresion,fixmul,11.745,1.162470,1.162411,-0.0050,37.89,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 19:14:41,regresion,floyd,4.795,1.163245,1.162842,-0.0346,37.64,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 19:15:06,regresion,fpalu,11.794,1.167414,1.162195,-0.4471,37.77,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 19:15:35,regresion,fpctrl,15.378,1.165162,1.162665,-0.2143,37.52,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 19:16:00,regresion,fpgain,12.306,1.166343,1.158644,-0.6601,37.52,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 19:16:26,regresion,fpmem,12.315,1.163812,1.161470,-0.2013,37.40,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 19:16:54,regresion,logistic,13.330,1.164641,1.161752,-0.2480,37.27,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 19:17:40,regresion,md5,32.088,1.166277,1.163374,-0.2489,37.77,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 19:17:59,regresion,primes,5.451,1.154157,1.150251,-0.3384,37.64,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 19:18:19,regresion,sha256,5.292,1.167214,1.162916,-0.3682,37.77,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 19:18:43,regresion,ycbcr,10.258,1.164485,1.160141,-0.3730,37.89,20660014,0,0,0,0,20480004,5120001,10240000,102580021
