category,repeat,p_avg_w,duration_ms,T_s,value,unit,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
alu,1,5.060356,13601,13.6000002,529391.0440768278,pJ/instr,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe01efca6,0xe83a2ea8
alu,2,5.060348,13601,13.6000002,529390.2071538224,pJ/instr,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xee939244,0xf6aec446
alu,3,5.06015,13601,13.6000002,529369.4933094353,pJ/instr,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xfd13e788,0x052f198a
mul,1,5.054771,13602,13.6000002,537069.4266480797,pJ/instr,0x001e848d,0x00000000,0x07a12000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0b36ac1e,0x1351de20
mul,2,5.054898,13601,13.6000002,537082.920398278,pJ/instr,0x001e848d,0x00000000,0x07a12000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x197bd39c,0x2197059e
mul,3,5.054869,13601,13.6000002,537079.839148233,pJ/instr,0x001e848d,0x00000000,0x07a12000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x27c453be,0x2fdf85c0
mulh,1,5.04862,16201,16.2000002,2555863.9065538747,pJ/instr,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x360c7cde,0x3fb46960
mulh,2,5.048695,16200,16.2000002,2555901.875304344,pJ/instr,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x45fa9e40,0x4fa28ac2
mulh,3,5.04843,16201,16.2000002,2555767.7190526878,pJ/instr,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x55c99d84,0x5f718a06
div,1,5.044912,12133,12.1320002,505992.6702462169,pJ/ciclo,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x65c6facc,0x6d022d0e
div,2,5.044743,12133,12.1320002,505975.7199483185,pJ/ciclo,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x7334f6ba,0x7a7028fc
div,3,5.044777,12133,12.1320002,505979.13006742223,pJ/ciclo,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x80636c42,0x879e9e84
mem,1,5.050383,26200,26.2000003,1033750.2659969872,pJ/instr,0x001e848d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x07a12002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8da4c5f2,0x9d429375
mem,2,5.050298,26201,26.2000003,1033732.86755956,pJ/instr,0x001e848d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x07a12002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa35d42f7,0xb2fb107a
mem,3,5.050497,26201,26.2000003,1033773.6003718898,pJ/instr,0x001e848d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x07a12002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xb936b8c0,0xc8d48643
ctrl,1,5.050464,9242,9.2400005,1025632.7672717533,pJ/instr,0x000aae69,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02b6465f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xcee0a124,0xd4628aa9
ctrl,2,5.05058,9242,9.2400005,1025656.3241966227,pJ/instr,0x000aae69,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02b6465f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xda6ba5ec,0xdfed8f71
ctrl,3,5.050746,9242,9.2400005,1025690.0349684185,pJ/instr,0x000aae69,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02b6465f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe60373be,0xeb855d43
float,1,5.058276,12601,12.6000005,663898.7513451875,pJ/instr,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0xf19a42f6,0xf91cde7b
float,2,5.058436,12601,12.6000005,663919.7513460208,pJ/instr,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0xff57dfce,0x06da7b53
float,3,5.058542,12601,12.6000005,663933.663846573,pJ/instr,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0x0d0529ec,0x1487c571
idle,1,5.06035,13601,13.6000005,5.06035,W,0x0206cc89,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0206cc7f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x1ab6922c,0x22d1c431
idle,2,5.060199,13601,13.6000005,5.060199,W,0x0206cc89,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0206cc7f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x28f86b16,0x31139d1b
idle,3,5.060148,13601,13.6000005,5.060148,W,0x0206cc89,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0206cc7f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x37211358,0x3f3c455d
