name,repeat,p_avg_w,duration_ms,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
bsearch,1,5.057363,20403,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3aef1aaf,0x47183ca8
bsearch,2,5.05728,20404,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x4d2cd86c,0x5955fa65
bsearch,3,5.057548,20403,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x5f2e5643,0x6b57783c
bsearch,1,5.057926,20403,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa869904b,0xb492b244
bsearch,2,5.057847,20404,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xba8830f4,0xc6b152ed
bsearch,3,5.057934,20403,20.4022265,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xccb8102b,0xd8e13224
dotprod,1,5.058131,23941,23.9400075,0x059b8c1d,0x00000000,0x003c6cc0,0x00000000,0x003a9800,0x00000000,0x00000000,0x00000000,0x01d8698c,0x00000000,0x00ac1e81,0x00000000,0x015f9000,0x00000000,0x00000000,0x00000000,0xded9a6e4,0xed1e9b6f
dotprod,2,5.058241,23941,23.9400075,0x059b8c1d,0x00000000,0x003c6cc0,0x00000000,0x003a9800,0x00000000,0x00000000,0x00000000,0x01d8698c,0x00000000,0x00ac1e81,0x00000000,0x015f9000,0x00000000,0x00000000,0x00000000,0xf31cd4a1,0x0161c92c
dotprod,3,5.058229,23941,23.9400075,0x059b8c1d,0x00000000,0x003c6cc0,0x00000000,0x003a9800,0x00000000,0x00000000,0x00000000,0x01d8698c,0x00000000,0x00ac1e81,0x00000000,0x015f9000,0x00000000,0x00000000,0x00000000,0x074e8fbe,0x15938449
alu,1,5.059669,13601,13.6000002,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xed8e3423,0xf5a96625
