name,P_avg_W,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
bsearch,5.057902,0x065350ac,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00f57445,0x00000000,0x01396652,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa869904b,0xb492b244
dotprod,5.058200,0x059b8c1d,0x00000000,0x003c6cc0,0x00000000,0x003a9800,0x00000000,0x00000000,0x00000000,0x01d8698c,0x00000000,0x00ac1e81,0x00000000,0x015f9000,0x00000000,0x00000000,0x00000000,0xded9a6e4,0xed1e9b6f
alu,5.059732,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xed8e3423,0xf5a96625
div,5.044624,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x18111cb1,0x1f4c4ef3
gcd,5.047776,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x403dab47,0x5f13a815
sort,5.058690,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xaea853ad,0xb7c5f583
matmul,5.057374,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8d4ac785,0x97ed4896
crc,5.060983,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbefe48ee,0xdc4f2b03
strings,5.057009,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xb72d29d3,0xda11a8a9
mulh,5.050312,0x0007a12d,0x00000000,0x00000000,0x00000000,0x01e84800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0007a11f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x32462343,0x3bee0fc5
float,5.060181,0x0016e369,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0016e35f,0x00000000,0x05b8d800,0x00000000,0x00000000,0x00000000,0x6164d45a,0x68e76fdf
valid,5.051341,0x00cdfe6d,0x00000000,0x005b8d80,0x00000000,0x002dc6c0,0x00000000,0x002dc6c0,0x00000000,0x005b8d82,0x00000000,0x007270df,0x00000000,0x005b8d80,0x00000000,0x03c14dc0,0x00000000,0xe7027988,0xeef785ea
