# Una fila por medicion. Medir cada perfil al menos 3 veces.
# role=train para mezclas que entran al ajuste; role=test para validacion;
# role=skip para perfiles legados o no usados en la regresion.
# P_avg_W debe ser el promedio exclusivamente mientras GPIO8 esta alto.
profile,repeat,role,p_avg_w,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
p00_base,1,skip,5.045,0x003567ed,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x003567df,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xd2c57e74,0xee4f0df6
p07_float,1,skip,5.056,0x002932ed,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x002932df,0x00000000,0x05265c00,0x00000000,0x00000000,0x00000000,0x2a75fc37,0x318abab9
p02_mul,1,skip,5.051,0x003567ed,0x00000000,0x06acfc00,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x003567df,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x5366117e,0x5ae8ad00
p09_mem_ctrl,1,train,5.049,0x0013d62d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x013d6202,0x00000000,0x0151381f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x790e414f,0x7e5321d1
p04_div,1,skip,5.044,0x00155ccd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00557300,0x00000000,0x00000002,0x00000000,0x00155cbf,0x00000000,0x00000000,0x00000000,0x07026f00,0x00000000,0x9d6eeab8,0xa4c6ccba
p16_mulh_float,1,train,5.049,0x001cfded,0x00000000,0x00000000,0x00000000,0x00e7ef00,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001cfddf,0x00000000,0x01cfde00,0x00000000,0x00000000,0x00000000,0xc6ab270d,0xcdea9f0f
p01_alu,1,skip,5.058,0x06e263ed,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x003567df,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xf444d0b2,0xfbc76c34
p10_mulh_div,1,train,5.045,0x000e7efd,0x00000000,0x00000000,0x00000000,0x0073f780,0x00000000,0x0039fbc0,0x00000000,0x00000002,0x00000000,0x000e7eef,0x00000000,0x00000000,0x00000000,0x04c1a6c0,0x00000000,0x15216b61,0x1c60e363
p05_mem,1,skip,5.049,0x00200b2d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04016402,0x00000000,0x00200b1f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x44952bda,0x4cf8153d
p14_mul_mem_div,1,train,5.045,0x0010c8ed,0x00000000,0x00864700,0x00000000,0x00000000,0x00000000,0x00432380,0x00000000,0x00864702,0x00000000,0x0010c8df,0x00000000,0x00000000,0x00000000,0x0581e980,0x00000000,0x7522e946,0x7c6a0268
