category,repeat,p_avg_w,duration_ms,T_s,value,unit,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
alu,1,5.067796,546241,306.0000002,530169.4256825151,pJ/instr,0xae57f54d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x9b69e6fb,0x51cdcbfd
alu,2,5.067466,306002,306.0000002,530134.9026057228,pJ/instr,0xae57f54d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x57e05b2f,0x0e444031
alu,3,5.067521,306002,306.0000002,530140.656451855,pJ/instr,0xae57f54d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x1544c84f,0xcba8ad51
mul,1,5.06102,306002,306.0000002,537733.3753514597,pJ/instr,0x02aea54d,0x00000000,0xaba95000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xd37676c3,0x89da5bc5
mul,2,5.06113,306002,306.0000002,537745.0628514673,pJ/instr,0x02aea54d,0x00000000,0xaba95000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8ffdf5c9,0x4661dacb
mul,3,5.061318,306003,306.0000002,537765.0378514804,pJ/instr,0x02aea54d,0x00000000,0xaba95000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x02aea53f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x4c901897,0x02f3fd99
mulh,1,5.054151,301323,301.3200002,2558663.945448303,pJ/instr,0x008de82d,0x00000000,0x00000000,0x00000000,0x237a0800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x008de81f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x094fbb5b,0xbce983dd
mulh,2,5.053798,301322,301.3200002,2558485.2391981846,pJ/instr,0x008de82d,0x00000000,0x00000000,0x00000000,0x237a0800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x008de81f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xc31a409d,0x76b4091f
mulh,3,5.053797,301323,301.3200002,2558484.7329481845,pJ/instr,0x008de82d,0x00000000,0x00000000,0x00000000,0x237a0800,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x008de81f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x7cd3971b,0x306d5f9d
div,1,5.039475,341923,300.6040002,505447.34408628783,pJ/ciclo,0x002206fd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0881bc00,0x00000000,0x00000002,0x00000000,0x002206ef,0x00000000,0x00000000,0x00000000,0xb2a46c00,0x00000000,0x00000053,0xb32c8815
div,2,5.039357,300606,300.6040002,505435.50896723225,pJ/ciclo,0x002206fd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0881bc00,0x00000000,0x00000002,0x00000000,0x002206ef,0x00000000,0x00000000,0x00000000,0xb2a46c00,0x00000000,0xb91be36b,0x6c486b2d
div,3,5.038752,300607,300.6040002,505374.828907668,pJ/ciclo,0x002206fd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0881bc00,0x00000000,0x00000002,0x00000000,0x002206ef,0x00000000,0x00000000,0x00000000,0xb2a46c00,0x00000000,0x7239d543,0x25665d05
mem,1,5.045439,301302,301.3000003,1032738.2949376054,pJ/instr,0x015ef3cd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x57bcf002,0x00000000,0x015ef3bf,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x2b67bea5,0xdefe79e8
mem,2,5.046191,301301,301.3000003,1032892.2199375496,pJ/instr,0x015ef3cd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x57bcf002,0x00000000,0x015ef3bf,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe512f066,0x98a9aba9
mem,3,5.046524,301302,301.3000003,1032960.3808750248,pJ/instr,0x015ef3cd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x57bcf002,0x00000000,0x015ef3bf,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x9e9ea95d,0x523564a0
ctrl,1,5.045569,300962,300.9600005,1024638.6300859805,pJ/instr,0x015be689,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x5855867f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x582a7b4f,0x0b8d5554
ctrl,2,5.04624,300962,300.9600005,1024774.8947016834,pJ/instr,0x015be689,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x5855867f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x1196771f,0xc4f95124
ctrl,3,5.045817,300962,300.9600005,1024688.9931630213,pJ/instr,0x015be689,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x5855867f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xcb510735,0x7eb3e13a
float,1,5.052741,302402,302.4000005,663172.257346515,pJ/instr,0x02255109,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x022550ff,0x00000000,0x89544000,0x00000000,0x00000000,0x00000000,0x84cdc077,0x390c547c
float,2,5.052513,302401,302.4000005,663142.3323464654,pJ/instr,0x02255109,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x022550ff,0x00000000,0x89544000,0x00000000,0x00000000,0x00000000,0x3ef5af1b,0xf3344320
float,3,5.052698,302403,302.4000005,663166.6135965057,pJ/instr,0x02255109,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x022550ff,0x00000000,0x89544000,0x00000000,0x00000000,0x00000000,0xf92d27eb,0xad6bbbf0
idle,1,5.054894,300003,300.0000005,5.054894,W,0x2cb41789,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x2cb4177f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xb3643251,0x66349056
idle,2,5.05444,300002,300.0000005,5.05444,W,0x2cb41789,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x2cb4177f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x6c43320b,0x1f139010
idle,3,5.053764,300001,300.0000005,5.053764,W,0x2cb41789,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x2cb4177f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x25048231,0xd7d4e036
