category,repeat,p_avg_w,duration_ms,T_s,value,unit,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
alu,1,5.075555,31961,31.9600002,530981.1191893828,pJ/instr,0x12358f6d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xf1a7426d,0x04b3f7ef
alu,2,5.075189,31961,31.9600002,530942.8299600034,pJ/instr,0x12358f6d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0abbe0a9,0x1dc8962b
alu,3,5.074861,31961,31.9600002,530908.5161150949,pJ/instr,0x12358f6d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x23c5357f,0x36d1eb01
mul,1,5.069401,31961,31.9600002,538623.8596206123,pJ/instr,0x0047b76d,0x00000000,0x11edd800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3cb8b3ff,0x4fc56981
mul,2,5.068738,31961,31.9600002,538553.4158701716,pJ/instr,0x0047b76d,0x00000000,0x11edd800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x55fcbfaf,0x69097531
mul,3,5.067377,31961,31.9600002,538408.8096192667,pJ/instr,0x0047b76d,0x00000000,0x11edd800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0047b75f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x6ef3cdeb,0x8200836d
mulh,1,5.060111,32401,32.4000002,2561681.2095628474,pJ/instr,0x000f424d,0x00000000,0x00000000,0x00000000,0x03d09000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x000f423f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x87fa44bb,0x9b4a1dbd
mulh,2,5.060135,32401,32.4000002,2561693.359562922,pJ/instr,0x000f424d,0x00000000,0x00000000,0x00000000,0x03d09000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x000f423f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa2771b15,0xb5c6f417
mulh,3,5.06019,32401,32.4000002,2561721.2033130936,pJ/instr,0x000f424d,0x00000000,0x00000000,0x00000000,0x03d09000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x000f423f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbbcb33e3,0xcf1b0ce5
div,1,5.05671,32353,32.3520002,507175.97634964663,pJ/ciclo,0x0003a98d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00ea6000,0x00000000,0x00000002,0x00000000,0x0003a97f,0x00000000,0x00000000,0x00000000,0x1339e000,0x00000000,0xd53fd847,0xe8885e49
div,2,5.056615,32354,32.3520002,507166.44807577814,pJ/ciclo,0x0003a98d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00ea6000,0x00000000,0x00000002,0x00000000,0x0003a97f,0x00000000,0x00000000,0x00000000,0x1339e000,0x00000000,0xee751913,0x01bd9f15
div,3,5.056699,32353,32.3520002,507174.8730758302,pJ/ciclo,0x0003a98d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00ea6000,0x00000000,0x00000002,0x00000000,0x0003a97f,0x00000000,0x00000000,0x00000000,0x1339e000,0x00000000,0x07a91459,0x1af19a5b
mem,1,5.062197,32097,32.0950003,1036168.4449063918,pJ/instr,0x0025625d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x09589402,0x00000000,0x0025624f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20f11b41,0x34126a34
mem,2,5.062369,32097,32.0950003,1036203.6511562718,pJ/instr,0x0025625d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x09589402,0x00000000,0x0025624f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x39d87c20,0x4cf9cb13
mem,3,5.062012,32097,32.0950003,1036130.5777190209,pJ/instr,0x0025625d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x09589402,0x00000000,0x0025624f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x52ef03e7,0x661052da
ctrl,1,5.061899,31945,31.9440005,1027954.8964711024,pJ/instr,0x0024ed29,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0960351f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x6c03e633,0x7f0e2ab8
ctrl,2,5.06116,31945,31.9440005,1027804.8226216454,pJ/instr,0x0024ed29,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0960351f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x85291d89,0x9833620e
ctrl,3,5.060644,31945,31.9440005,1027700.0349270315,pJ/instr,0x0024ed29,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0960351f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x9e3f3735,0xb1497bba
float,1,5.068019,31921,31.9200005,665177.504169447,pJ/instr,0x0039fbc9,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0039fbbf,0x00000000,0x0e7ef000,0x00000000,0x00000000,0x00000000,0xb7526651,0xca590156
float,2,5.067878,31920,31.9200005,665158.997919157,pJ/instr,0x0039fbc9,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0039fbbf,0x00000000,0x0e7ef000,0x00000000,0x00000000,0x00000000,0xd056b0a3,0xe35d4ba8
float,3,5.06775,31920,31.9200005,665142.197918894,pJ/instr,0x0039fbc9,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x0039fbbf,0x00000000,0x0e7ef000,0x00000000,0x00000000,0x00000000,0xe94fa4cb,0xfc563fd0
idle,1,5.069057,32002,32.0000005,5.069057,W,0x04c4b409,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x04c4b3ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x026402cb,0x1576d2d0
idle,2,5.068785,32002,32.0000005,5.068785,W,0x04c4b409,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x04c4b3ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x1bbb149b,0x2ecde4a0
idle,3,5.068351,32002,32.0000005,5.068351,W,0x04c4b409,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x04c4b3ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x34ce7469,0x47e1446e
