categoria,repeticion,delta_W,P_idle_W,n_alto,n_bajo
alu,1,0.009061,5.05572,144910,85397
alu,2,0.014642,5.0557669999999995,84143,85391
mul,1,0.003871,5.055642,84140,85394
mul,2,0.003964,5.055198,84137,85398
mulh,1,-0.00029,5.054874,84744,85394
mulh,2,-0.00023,5.055275,84738,85400
div,1,-0.001826,5.054801,83394,85390
div,2,-0.001787,5.054266,83385,85399
mem,1,0.003839,5.054027,84367,85390
mem,2,0.003887,5.053955,84364,85395
ctrl,1,0.003714,5.053903999999999,84261,85398
ctrl,2,0.003646,5.053853,84258,85401
float,1,0.011407,5.053782,84336,85392
float,2,0.01137,5.053882,84335,85393
div_wfi,1,0.004494,5.060830999999999,571753,86487
alu_wfi,1,0.020058,5.062132,84133,85064
alu_wfi,2,0.020078,5.0608640000000005,84140,85056
mul_wfi,1,0.009201,5.060775,84134,85062
mul_wfi,2,0.009188,5.061626,84132,85064
mulh_wfi,1,0.005008,5.061419,84740,85060
mulh_wfi,2,0.004973,5.060336,84742,85058
div_wfi,1,0.003411,5.0593390000000005,83392,85052
div_wfi,2,0.003395,5.059043,83385,85060
mem_wfi,1,0.009087,5.058131,84361,85058
mem_wfi,2,0.009119,5.0581879999999995,84364,85056
ctrl_wfi,1,0.00885,5.058641000000001,84262,85060
ctrl_wfi,2,0.008842,5.060458000000001,84268,85060
float_wfi,1,0.016784,5.059215999999999,84340,85051
float_wfi,2,0.016763,5.059145,84334,85056
div_wfi,1,0.003441,5.063943,83391,85058
div_wfi,2,0.003407,5.063378,83393,85052
