fecha,categoria,repeticion,delta_W,P_idle_W,n_alto,n_bajo
2026-06-17,mul,1,0.009056,5.055561,84151,85047
2026-06-17,mulh,1,0.00496,5.055035,84744,85053
2026-06-17,div,1,0.0034,5.054957,83384,85059
2026-06-17,mem,1,0.009033,5.05492,84364,85056
2026-06-17,ctrl,1,0.008809,5.055371,84269,85051
2026-06-17,float,1,0.01659,5.055136,84334,85055
2026-06-17,alu,1,0.019861,5.052994,84136,85059
2026-06-18 13:23:57,alu,1,0.019412,9.206648999999999,81876,82665
2026-06-18 13:29:09,mul,1,0.008985,9.173579,81833,82699
2026-06-18 13:34:21,mulh,1,0.004714,9.156659,82523,82603
2026-06-18 13:39:30,div,1,0.003093,9.157249,81062,82734
2026-06-18 13:44:43,mem,1,0.00858,9.185502999999999,82058,82685
