name,repeat,p_avg_w,duration_ms,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
mix1,1,5.046571,32931,32.9300002,0x01fc1e2d,0x00000000,0x00e1d480,0x00000000,0x0070ea40,0x00000000,0x0070ea40,0x00000000,0x00e1d482,0x00000000,0x011a499f,0x00000000,0x00e1d480,0x00000000,0x09433740,0x00000000,0xb85b4288,0xcbfbfaaa
mix1,2,5.046703,32932,32.9300002,0x01fc1e2d,0x00000000,0x00e1d480,0x00000000,0x0070ea40,0x00000000,0x0070ea40,0x00000000,0x00e1d482,0x00000000,0x011a499f,0x00000000,0x00e1d480,0x00000000,0x09433740,0x00000000,0xd1f6d267,0xe5978a89
mix1,3,5.046556,32931,32.9300002,0x01fc1e2d,0x00000000,0x00e1d480,0x00000000,0x0070ea40,0x00000000,0x0070ea40,0x00000000,0x00e1d482,0x00000000,0x011a499f,0x00000000,0x00e1d480,0x00000000,0x09433740,0x00000000,0xeb893b1c,0xff29f33e
mix2,1,5.048021,34080,34.0800002,0x0200b20d,0x00000000,0x0249f000,0x00000000,0x00927c00,0x00000000,0x00493e00,0x00000000,0x0124f802,0x00000000,0x00dbb9ff,0x00000000,0x0249f000,0x00000000,0x06021600,0x00000000,0x052baf53,0x197be155
mix2,2,5.04813,34081,34.0800002,0x0200b20d,0x00000000,0x0249f000,0x00000000,0x00927c00,0x00000000,0x00493e00,0x00000000,0x0124f802,0x00000000,0x00dbb9ff,0x00000000,0x0249f000,0x00000000,0x06021600,0x00000000,0x21cbcb4a,0x361bfd4c
mix2,3,5.048043,34080,34.0800002,0x0200b20d,0x00000000,0x0249f000,0x00000000,0x00927c00,0x00000000,0x00493e00,0x00000000,0x0124f802,0x00000000,0x00dbb9ff,0x00000000,0x0249f000,0x00000000,0x06021600,0x00000000,0x3c296183,0x50799385
mix3,1,5.044774,34502,34.5000002,0x00bebc2d,0x00000000,0x004c4b40,0x00000000,0x004c4b40,0x00000000,0x00989680,0x00000000,0x01c9c382,0x00000000,0x00bebc1f,0x00000000,0x004c4b40,0x00000000,0x0c845880,0x00000000,0x567aa344,0x6b0aeb86
mix3,2,5.044825,34501,34.5000002,0x00bebc2d,0x00000000,0x004c4b40,0x00000000,0x004c4b40,0x00000000,0x00989680,0x00000000,0x01c9c382,0x00000000,0x00bebc1f,0x00000000,0x004c4b40,0x00000000,0x0c845880,0x00000000,0x7133d2ab,0x85c41aed
mix3,3,5.04483,34501,34.5000002,0x00bebc2d,0x00000000,0x004c4b40,0x00000000,0x004c4b40,0x00000000,0x00989680,0x00000000,0x01c9c382,0x00000000,0x00bebc1f,0x00000000,0x004c4b40,0x00000000,0x0c845880,0x00000000,0x8ba1675e,0xa031afa0
aes,1,5.051898,97456,97.4551985,0x12c686aa,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0dc03656,0x00000000,0x03236074,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa6aec458,0xe0c54009
aes,2,5.051941,97458,97.4551985,0x12c686aa,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0dc03656,0x00000000,0x03236074,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe6c424e5,0x20daa096
aes,3,5.051761,97457,97.4551985,0x12c686aa,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0dc03656,0x00000000,0x03236074,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x26ccda4e,0x60e355ff
dijkstra,1,5.052118,95164,95.1620523,0x1130b7c2,0x00000000,0x0004e200,0x00000000,0x00000000,0x00000000,0x000037f0,0x00000000,0x06f35ece,0x00000000,0x0602d45a,0x00000000,0x00000000,0x00000000,0x00064fa0,0x00000000,0x66f0fef9,0x9fa992a4
dijkstra,2,5.05214,95163,95.1620523,0x1130b7c2,0x00000000,0x0004e200,0x00000000,0x00000000,0x00000000,0x000037f0,0x00000000,0x06f35ece,0x00000000,0x0602d45a,0x00000000,0x00000000,0x00000000,0x00064fa0,0x00000000,0xa5a391ee,0xde5c2599
