name,P_avg_W,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
mix1,5.046610,0x01fc1e2d,0x00000000,0x00e1d480,0x00000000,0x0070ea40,0x00000000,0x0070ea40,0x00000000,0x00e1d482,0x00000000,0x011a499f,0x00000000,0x00e1d480,0x00000000,0x09433740,0x00000000,0xb85b4288,0xcbfbfaaa
mix2,5.048065,0x0200b20d,0x00000000,0x0249f000,0x00000000,0x00927c00,0x00000000,0x00493e00,0x00000000,0x0124f802,0x00000000,0x00dbb9ff,0x00000000,0x0249f000,0x00000000,0x06021600,0x00000000,0x052baf53,0x197be155
mix3,5.044810,0x00bebc2d,0x00000000,0x004c4b40,0x00000000,0x004c4b40,0x00000000,0x00989680,0x00000000,0x01c9c382,0x00000000,0x00bebc1f,0x00000000,0x004c4b40,0x00000000,0x0c845880,0x00000000,0x567aa344,0x6b0aeb86
aes,5.051867,0x12c686aa,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0dc03656,0x00000000,0x03236074,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa6aec458,0xe0c54009
dijkstra,5.052120,0x1130b7c2,0x00000000,0x0004e200,0x00000000,0x00000000,0x00000000,0x000037f0,0x00000000,0x06f35ece,0x00000000,0x0602d45a,0x00000000,0x00000000,0x00000000,0x00064fa0,0x00000000,0x66f0fef9,0x9fa992a4
gcd,5.044864,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x2329e122,0x41ffddf0
sort,5.055767,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x91a7e6a0,0x9ac58876
matmul,5.052707,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbeebde8a,0xc98e5f9b
crc,5.056060,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20649c27,0x3db57e3c
strings,5.051909,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8a694dc6,0xad4dcc9c
